Date,snp_close,btc_close
2022-12-12,3990.71,17091.916535641005
2022-12-13,4100.96,17220.814535119767
2022-12-14,4053.76,17766.350552594908
2022-12-15,3958.37,17799.16897417585
2022-12-16,3890.91,17339.458270551433
2022-12-19,3854.86,16750.765809591638
2022-12-20,3838.24,16424.79671324863
2022-12-21,3889.82,16902.54219033073
2022-12-22,3853.26,16806.416495870926
2022-12-23,3845.8,16822.062144857282
2022-12-27,3846.65,16908.94843019802
2022-12-28,3848.32,16706.459709721472
2022-12-29,3858.19,16549.98326575003
2022-12-30,3839.85,16641.44486445416
2023-01-03,3878.46,16677.44994353439
2023-01-04,3873.16,16675.90903725487
2023-01-05,3839.74,16857.282709442374
2023-01-06,3906.19,16828.8464
2023-01-09,3950.57,17070.574511476352
2023-01-10,3919.83,17194.77873456542
2023-01-11,3970.07,17435.7516459177
2023-01-12,3997.76,17939.362499760573
2023-01-13,4003.95,18858.6646
2023-01-17,4015.39,21171.04828454444
2023-01-18,4014.16,21157.189612933496
2023-01-19,3922.94,20686.510419770384
2023-01-20,3972.96,21082.058204303703
2023-01-23,4039.31,22723.9532
2023-01-24,4023.92,22944.9201
2023-01-25,4019.55,22614.658440741397
2023-01-26,4061.57,23125.7229
2023-01-27,4094.21,23007.8352
2023-01-30,4063.85,23775.9829
2023-01-31,4077.16,22814.4792
2023-02-01,4148.95,23153.2004
2023-02-02,4195.44,23706.0643
2023-02-03,4182.36,23484.9488
2023-02-06,4124.63,22938.184691051243
2023-02-07,4176.54,22747.465
2023-02-08,4156.85,23261.2186
2023-02-09,4156.23,22949.2132
2023-02-10,4094.36,21799.18210784724
2023-02-13,4138.9,21753.753226727626
2023-02-14,4159.77,21810.9904859392
2023-02-15,4148.11,22200.0306
2023-02-16,4136.54,24324.464026285455
2023-02-17,4081.51,23531.7304
2023-02-21,4052.35,24797.2219
2023-02-22,4017.37,24426.1719
2023-02-23,4028.3,24192.9805
2023-02-24,3978.25,23949.1025
2023-02-27,4018.05,23531.2037
2023-02-28,3997.5,23508.264699161653
2023-03-01,3971.73,23139.076794118864
2023-03-02,3990.84,23659.4001
2023-03-03,4048.29,23465.2689
2023-03-06,4078.49,22434.9936
2023-03-07,4050,22409.4946
2023-03-08,4000.41,22195.0144
2023-03-09,4017.81,21692.94462722918
2023-03-10,3934.05,20355.8604
2023-03-13,3905.05,21952.79780796608
2023-03-14,3937.29,24063.5624469319
2023-03-15,3894.26,24694.6951
2023-03-16,3964.46,24276.665892428617
2023-03-17,3958.91,25011.182
2023-03-20,3956.62,27911.812
2023-03-21,4009.08,27688.0737
2023-03-22,4039.49,28119.54921069888
2023-03-23,4007.66,27273.8081
2023-03-24,3972.74,28318.2186
2023-03-27,4003.83,27983.589033995435
2023-03-28,3979.2,27157.5701
2023-03-29,4030.59,27259.2207
2023-03-30,4057.85,28370.7692
2023-03-31,4110.75,28031.595199453343
2023-04-03,4127.66,28188.1801
2023-04-04,4133.13,27761.458669183034
2023-04-05,4099.69,28149.6814
2023-04-06,4107.32,28176.3891
2023-04-10,4109.5,28321.8616
2023-04-11,4124.26,29609.8284
2023-04-12,4134.37,30230.0732
2023-04-13,4150.26,29877.417735909105
2023-04-14,4163.19,30359.5812
2023-04-17,4151.72,30304.87458079287
2023-04-18,4169.48,29413.96
2023-04-19,4162.57,30366.57
2023-04-20,4148.57,28804.98
2023-04-21,4138.02,28267.17
2023-04-24,4142.41,27588.57
2023-04-25,4126.43,27529.2
2023-04-26,4089.67,28326.83
2023-04-27,4138.24,28376.59
2023-04-28,4170.06,29467.27
2023-05-01,4186.92,29310.54
2023-05-02,4164.1,28084.46
2023-05-03,4148.3,28639.58
2023-05-04,4082.61,28998.8
2023-05-05,4147.02,28820.66
2023-05-08,4142.3,28443.05
2023-05-09,4130.35,27692.99
2023-05-10,4154.28,27636.66
2023-05-11,4132.8,27624.54
2023-05-12,4143.74,27002.28
2023-05-15,4141.25,26906.17
2023-05-16,4135.54,27192.17
2023-05-17,4164.67,27025.77
2023-05-18,4202.2,27402.68
2023-05-19,4212.91,26837.94
2023-05-22,4209.22,26751.47
2023-05-23,4185.68,26851.39
2023-05-24,4132.96,27222.75
2023-05-25,4165.74,26336.63
2023-05-26,4212.87,26474.02
2023-05-30,4231.1,27742.37
2023-05-31,4195.44,27682.8
2023-06-01,4232.43,27225.77
2023-06-02,4290.67,26806.98
2023-06-05,4299.28,27104.41
2023-06-06,4288.33,25730.52
2023-06-07,4299.19,27200.04
2023-06-08,4298.01,26359.59
2023-06-09,4322.62,26493.46
2023-06-12,4340.13,25920.86
2023-06-13,4375.37,25887.59
2023-06-14,4391.82,25910.03
2023-06-15,4439.2,25119.91
2023-06-16,4448.47,25585.43
2023-06-20,4400.15,26781.82
2023-06-21,4386.22,28371.02
2023-06-22,4382.25,30059.71
2023-06-23,4366.55,29903.56
2023-06-26,4362.06,30457.7
2023-06-27,4384.42,30273.8
2023-06-28,4390.35,30709.78
2023-06-29,4398.39,30084.01
2023-06-30,4458.48,30459.1
2023-07-03,4456.46,30623.76
2023-07-05,4454.06,30771.96
2023-07-06,4422.62,30502.92
2023-07-07,4440.39,29970.05
2023-07-10,4412.6,30164.49
2023-07-11,4443.64,30398.1
2023-07-12,4488.34,30621.56
2023-07-13,4517.38,30383.85
2023-07-14,4527.76,31446.3
2023-07-17,4532.85,30221.07
2023-07-18,4562.3,30158.01
2023-07-19,4578.43,29845.47
2023-07-20,4564.74,29932.56
2023-07-21,4555,29796.85
2023-07-24,4563.41,30060.75
2023-07-25,4580.62,29186.08
2023-07-26,4582.47,29242.03
2023-07-27,4607.07,29349.52
2023-07-28,4590.16,29209.65
2023-07-31,4594.22,29273.9
2023-08-01,4584.62,29225.93
2023-08-02,4550.93,29629.24
2023-08-03,4519.49,29151.7
2023-08-04,4540.34,29198.33
2023-08-07,4519.84,29086.65
2023-08-08,4503.31,29206.01
2023-08-09,4502.44,29766.72
2023-08-10,4527.37,29596.9
2023-08-11,4476.23,29455.74
2023-08-14,4490.33,29285.11
2023-08-15,4478.87,29430.95
2023-08-16,4449.95,29200.8
2023-08-17,4421.17,28736.49
2023-08-18,4381.82,26610.04
2023-08-21,4407.55,26180
2023-08-22,4418.59,26123.45
2023-08-23,4443.18,26048.09
2023-08-24,4458.3,26417.4
2023-08-25,4418.46,26141.53
2023-08-28,4439.56,26088.38
2023-08-29,4500.14,26127.89
2023-08-30,4521.65,27718.23
2023-08-31,4532.26,27316.23
2023-09-01,4541.25,25936.45
2023-09-05,4514.29,25824.15
2023-09-06,4490.35,25788.7
2023-09-07,4457.81,25771.63
2023-09-08,4473.53,26200.96
2023-09-11,4490.77,25841.65
2023-09-12,4487.11,25143.63
2023-09-13,4479.39,25854.29
2023-09-14,4511.99,26222.02
2023-09-15,4497.98,26528.22
2023-09-18,4466.36,26531.4
2023-09-19,4449.85,26738.74
2023-09-20,4461.03,27211.2
2023-09-21,4375.7,27121.84
2023-09-22,4357.4,26556.98
2023-09-25,4338.51,26254.11
2023-09-26,4313.01,26308.45
